,LatitudeDegrees,LongitudeDegrees,Time,Delta_Distance(km),Distance_Travelled(km),Delta_Time,TimeSeconds
0,38.9433816494,-77.350569879,2020-04-19 21:55:53.132722,0.0,0.0,0.0,0.0
1,38.9433853332,-77.3505676758,2020-04-19 21:55:54.137534,0.0004517680232980111,0.0004517680232980111,1.004812,1.004812
2,38.9433872693,-77.3505666923,2020-04-19 21:55:55.137341,0.00023147802298779726,0.0006832460462858084,0.999807,2.004619
3,38.9433882432,-77.3505672127,2020-04-19 21:55:56.134229,0.00011727263933836942,0.0008005186856241778,0.996888,3.001507
4,38.943382454,-77.3505671769,2020-04-19 21:55:57.137831,0.0006437371138435922,0.00144425579946777,1.003602,4.005109
5,38.9433756592,-77.3505688376,2020-04-19 21:55:58.230475,0.0007690770154341075,0.0022133328149018775,1.092644,5.097753
6,38.9433701084,-77.3505719057,2020-04-19 21:55:59.136980,0.0006718387776924176,0.002885171592594295,0.906505,6.004258
7,38.9433684108,-77.3505771678,2020-04-19 21:56:00.232537,0.0004926821767182628,0.0033778537693125578,1.095557,7.0998149999999995
8,38.9433653141,-77.3505847675,2020-04-19 21:56:01.229564,0.0007419886291808196,0.0041198423984933775,0.997027,8.096841999999999
9,38.943361521,-77.3505949228,2020-04-19 21:56:02.231654,0.0009742943644392463,0.005094136762932624,1.00209,9.098931999999998
10,38.9433583338,-77.3506030924,2020-04-19 21:56:03.230191,0.0007904403645008447,0.0058845771274334685,0.998537,10.097468999999998
11,38.9433566732,-77.3506115672,2020-04-19 21:56:04.231752,0.0007558350981178318,0.0066404122255513,1.001561,11.099029999999999
12,38.9433581225,-77.3506196954,2020-04-19 21:56:05.231898,0.0007211938588617672,0.007361606084413067,1.000146,12.099176
13,38.943360965,-77.3506284559,2020-04-19 21:56:06.231514,0.0008209274811210819,0.00818253356553415,0.999616,13.098792
14,38.9433655398,-77.3506377348,2020-04-19 21:56:07.230857,0.0009501240941935078,0.009132657659727657,0.999343,14.098135
15,38.9433702312,-77.3506466045,2020-04-19 21:56:08.230446,0.0009276578845043606,0.010060315544232017,0.999589,15.097724
16,38.9433731036,-77.3506558655,2020-04-19 21:56:09.141051,0.0008622629145795086,0.010922578458811526,0.910605,16.008329
17,38.943376461,-77.3506647004,2020-04-19 21:56:10.259435,0.0008504022327197301,0.011772980691531256,1.118384,17.126713
18,38.9433825713,-77.3506774099,2020-04-19 21:56:11.230096,0.0012922060929780941,0.013065186784509351,0.970661,18.097374
19,38.9433904307,-77.3506950727,2020-04-19 21:56:12.233226,0.001759869894862438,0.01482505667937179,1.00313,19.100503999999997
20,38.9434026426,-77.3507159803,2020-04-19 21:56:13.234603,0.0022612758236976297,0.01708633250306942,1.001377,20.101881
21,38.9434170383,-77.3507401812,2020-04-19 21:56:14.220723,0.0026349418109693525,0.01972127431403877,0.98612,21.088001
22,38.9434309312,-77.3507648419,2020-04-19 21:56:15.233278,0.002633455900147186,0.022354730214185957,1.012555,22.100555999999997
23,38.9434450461,-77.3507928823,2020-04-19 21:56:16.230973,0.0028886255485214723,0.02524335576270743,0.997695,23.098250999999998
24,38.9434587101,-77.3508204878,2020-04-19 21:56:17.230084,0.0028298905864156836,0.028073246349123115,0.999111,24.097361999999997
25,38.9434731642,-77.3508487972,2020-04-19 21:56:18.233231,0.0029287103796224916,0.031001956728745606,1.003147,25.100508999999995
26,38.9434906078,-77.3508758655,2020-04-19 21:56:19.230059,0.0030401191675391136,0.03404207589628472,0.996828,26.097336999999996
27,38.9435096429,-77.350900589,2020-04-19 21:56:20.231205,0.0030086260659982415,0.03705070196228296,1.001146,27.098482999999995
28,38.9435315458,-77.3509202616,2020-04-19 21:56:21.230550,0.0029708982614273893,0.040021600223710346,0.999345,28.097827999999996
29,38.9435539167,-77.3509417183,2020-04-19 21:56:22.230007,0.003103426356912556,0.0431250265806229,0.999457,29.097284999999996
30,38.9435780546,-77.3509629304,2020-04-19 21:56:23.231804,0.003251046602096149,0.04637607318271905,1.001797,30.099081999999996
31,38.9436030276,-77.350985532,2020-04-19 21:56:24.137874,0.0033958405065888705,0.049771913689307924,0.90607,31.005151999999995
32,38.9436286697,-77.3510067471,2020-04-19 21:56:25.233480,0.003390586896209503,0.05316250058551743,1.095606,32.100758
33,38.9436523596,-77.3510213814,2020-04-19 21:56:26.184575,0.002922464601411975,0.0560849651869294,0.951095,33.051853
34,38.9436758422,-77.3510329728,2020-04-19 21:56:27.184043,0.002796965851715646,0.05888193103864505,0.999468,34.051321
35,38.9437046931,-77.3510353328,2020-04-19 21:56:28.138730,0.0032145597041565092,0.06209649074280156,0.954687,35.006008
36,38.9437344201,-77.3510296228,2020-04-19 21:56:29.181377,0.0033421748787369355,0.0654386656215385,1.042647,36.048655000000004
37,38.9437678356,-77.3510142061,2020-04-19 21:56:30.184894,0.003947605967616765,0.06938627158915527,1.003517,37.052172000000006
38,38.9438038967,-77.3509930363,2020-04-19 21:56:31.184868,0.004408008753319477,0.07379428034247475,0.999974,38.05214600000001
39,38.9438381566,-77.3509692927,2020-04-19 21:56:32.185252,0.004327706819256979,0.07812198716173173,1.000384,39.052530000000004
40,38.9438824659,-77.3509530596,2020-04-19 21:56:33.185209,0.005123078761791824,0.08324506592352356,0.999957,40.052487000000006
41,38.9439246091,-77.3509311241,2020-04-19 21:56:34.182677,0.005055534691598486,0.08830060061512204,0.997468,41.049955000000004
42,38.9439614674,-77.3509072873,2020-04-19 21:56:35.185384,0.004587705705684611,0.09288830632080665,1.002707,42.052662000000005
43,38.9439921525,-77.350877193,2020-04-19 21:56:36.183505,0.004291352353091086,0.09717965867389773,0.998121,43.050783
44,38.9440193093,-77.3508458665,2020-04-19 21:56:37.184516,0.00405689553714061,0.10123655421103835,1.001011,44.051794
45,38.9440442146,-77.3508152393,2020-04-19 21:56:38.184086,0.0038321068708721566,0.1050686610819105,0.99957,45.051364
46,38.9440787916,-77.350787891,2020-04-19 21:56:39.182495,0.004514020241168701,0.1095826813230792,0.998409,46.049773
47,38.9441093014,-77.3507604359,2020-04-19 21:56:40.184742,0.004140900454280225,0.11372358177735943,1.002247,47.05202
48,38.9441366273,-77.3507343117,2020-04-19 21:56:41.185749,0.0037864113700503263,0.11750999314740976,1.001007,48.053027
49,38.9441628054,-77.3507049772,2020-04-19 21:56:42.231849,0.003861242846950303,0.12137123599436006,1.0461,49.099127
50,38.9441858185,-77.3506746469,2020-04-19 21:56:43.234576,0.003664500759625276,0.12503573675398533,1.002727,50.101854
51,38.9442044186,-77.3506412932,2020-04-19 21:56:44.230787,0.003549375644852511,0.12858511239883783,0.996211,51.098065000000005
52,38.9442235027,-77.3506078638,2020-04-19 21:56:45.180703,0.0035862778658196036,0.13217139026465743,0.949916,52.04798100000001
53,38.9442396076,-77.3505739255,2020-04-19 21:56:46.185065,0.003438253364348853,0.1356096436290063,1.004362,53.05234300000001
54,38.9442557223,-77.3505385021,2020-04-19 21:56:47.185142,0.003549072882775681,0.13915871651178197,1.000077,54.052420000000005
55,38.9442701778,-77.350503017,2020-04-19 21:56:48.184389,0.0034643170897909123,0.14262303360157289,0.999247,55.051667
56,38.944271335,-77.3504625466,2020-04-19 21:56:49.185428,0.00350235443835559,0.14612538803992847,1.001039,56.052706
57,38.9442737801,-77.3504222924,2020-04-19 21:56:50.183410,0.0034918929059957714,0.14961728094592425,0.997982,57.050688
58,38.9442764899,-77.35038251,2020-04-19 21:56:51.185402,0.0034536589323914254,0.15307093987831566,1.001992,58.05268
59,38.9442777314,-77.350342616,2020-04-19 21:56:52.184941,0.0034529016962459467,0.15652384157456162,0.999539,59.052219
60,38.9442793757,-77.350301164,2020-04-19 21:56:53.181016,0.0035895405165139497,0.16011338209107556,0.996075,60.048294
61,38.9442803407,-77.3502627051,2020-04-19 21:56:54.235363,0.0033277599535946755,0.16344114204467025,1.054347,61.102641
62,38.9442836171,-77.3502215312,2020-04-19 21:56:55.185023,0.003579418701890745,0.167020560746561,0.94966,62.052301
63,38.9442885138,-77.350180544,2020-04-19 21:56:56.185952,0.0035862582076608075,0.1706068189542218,1.000929,63.05323
64,38.944293792,-77.3501415017,2020-04-19 21:56:57.186064,0.00342711242997893,0.17403393138420073,1.000112,64.053342
65,38.9442971875,-77.3500995209,2020-04-19 21:56:58.185777,0.003650191479136807,0.17768412286333754,0.999713,65.053055
66,38.9443005216,-77.3500586817,2020-04-19 21:56:59.234554,0.0035512877075180023,0.18123541057085554,1.048777,66.101832
67,38.9443044074,-77.3500176771,2020-04-19 21:57:00.184976,0.0035724136457201804,0.1848078242165757,0.950422,67.052254
68,38.9443102868,-77.3499779711,2020-04-19 21:57:01.185856,0.0034955598267279093,0.18830338404330363,1.00088,68.053134
69,38.9443139629,-77.3499373061,2020-04-19 21:57:02.234747,0.00354049323817878,0.19184387728148242,1.048891,69.102025
70,38.9443099061,-77.3498979533,2020-04-19 21:57:03.186428,0.0034330999709998125,0.19527697725248222,0.951681,70.05370599999999
71,38.9443047011,-77.3498600628,2020-04-19 21:57:04.233861,0.0033275908628684577,0.19860456811535068,1.047433,71.10113899999999
72,38.9442989252,-77.3498214839,2020-04-19 21:57:05.185492,0.0033976600451968765,0.20200222816054755,0.951631,72.05277
73,38.9442951033,-77.3497822891,2020-04-19 21:57:06.186359,0.0034162078586699248,0.20541843601921747,1.000867,73.053637
74,38.944291277,-77.3497451144,2020-04-19 21:57:07.182545,0.003242998418226787,0.20866143443744425,0.996186,74.04982299999999
75,38.9442818449,-77.3497086868,2020-04-19 21:57:08.183459,0.003320351427074863,0.21198178586451913,1.000914,75.05073699999998
76,38.9442784627,-77.3496709856,2020-04-19 21:57:09.233892,0.003282119622845331,0.21526390548736446,1.050433,76.10116999999998
77,38.9442745572,-77.3496323352,2020-04-19 21:57:10.184316,0.0033706835097991115,0.21863458899716356,0.950424,77.05159399999998
78,38.9442733994,-77.3495887784,2020-04-19 21:57:11.185780,0.0037691093395996506,0.2224036983367632,1.001464,78.05305799999998
79,38.9442712185,-77.3495458291,2020-04-19 21:57:12.185704,0.0037222797815364608,0.22612597811829968,0.999924,79.05298199999999
80,38.9442724107,-77.3495035725,2020-04-19 21:57:13.184937,0.0036568689341118536,0.22978284705241153,0.999233,80.05221499999999
81,38.944273295,-77.349460975,2020-04-19 21:57:14.234370,0.0036852592278388795,0.23346810628025041,1.049433,81.10164799999998
